date,confidence
2006/9/1,103.7
2006/10/1,103.7
2006/11/1,103.7
2006/12/1,103.6
2007/1/1,103.6
2007/2/1,103.6
2007/3/1,103.5
2007/4/1,103.4
2007/5/1,103.3
2007/6/1,103.1
2007/7/1,102.8
2007/8/1,102.6
2007/9/1,102.4
2007/10/1,102.3
2007/11/1,102.2
2007/12/1,102.0
2008/1/1,101.6
2008/2/1,101.2
2008/3/1,100.8
2008/4/1,100.5
2008/5/1,100.3
2008/6/1,100.1
2008/7/1,99.9
2008/8/1,99.7
2008/9/1,99.4
2008/10/1,99.3
2008/11/1,99.1
2008/12/1,99.0
2009/1/1,98.8
2009/2/1,98.6
2009/3/1,98.5
2009/4/1,98.4
2009/5/1,98.4
2009/6/1,98.3
2009/7/1,98.3
2009/8/1,98.3
2009/9/1,98.3
2009/10/1,98.4
2009/11/1,98.6
2009/12/1,98.8
2010/1/1,99.1
2010/2/1,99.5
2010/3/1,99.7
2010/4/1,99.7
2010/5/1,99.6
2010/6/1,99.5
2010/7/1,99.6
2010/8/1,99.7
2010/9/1,99.8
2010/10/1,99.8
2010/11/1,99.8
2010/12/1,99.9
2011/1/1,100.2
2011/2/1,100.4
2011/3/1,100.5
2011/4/1,100.4
2011/5/1,100.2
2011/6/1,99.9
2011/7/1,99.7
2011/8/1,99.5
2011/9/1,99.4
2011/10/1,99.4
2011/11/1,99.5
2011/12/1,99.7
2012/1/1,100.0
2012/2/1,100.3
2012/3/1,100.4
2012/4/1,100.4
2012/5/1,100.2
2012/6/1,100.0
2012/7/1,100.0
2012/8/1,100.0
2012/9/1,100.1
2012/10/1,100.0
2012/11/1,100.0
2012/12/1,100.0
2013/1/1,100.1
2013/2/1,100.2
2013/3/1,100.3
2013/4/1,100.3
2013/5/1,100.3
2013/6/1,100.2
2013/7/1,100.1
2013/8/1,100.0
2013/9/1,99.9
2013/10/1,99.9
2013/11/1,99.9
2013/12/1,99.9
2014/1/1,99.8
2014/2/1,99.7
2014/3/1,99.7
2014/4/1,99.7
2014/5/1,99.8
2014/6/1,99.9
2014/7/1,100.0
2014/8/1,100.1
2014/9/1,100.2
2014/10/1,100.4
2014/11/1,100.6
2014/12/1,100.7
2015/1/1,100.6
2015/2/1,100.5
2015/3/1,100.3
2015/4/1,100.1
2015/5/1,100.0
2015/6/1,99.9
2015/7/1,99.7
2015/8/1,99.6
2015/9/1,99.4
2015/10/1,99.4
2015/11/1,99.3
2015/12/1,99.3
2016/1/1,99.3
2016/2/1,99.2
2016/3/1,99.2
2016/4/1,99.1
2016/5/1,99.0
2016/6/1,99.0
2016/7/1,99.2
2016/8/1,99.4
2016/9/1,99.6
2016/10/1,99.7
2016/11/1,99.7
2016/12/1,99.6
2017/1/1,99.6
2017/2/1,99.5
2017/3/1,99.3
2017/4/1,99.0
2017/5/1,98.8
2017/6/1,98.6
2017/7/1,98.6
2017/8/1,98.7
2017/9/1,98.8
2017/10/1,98.9
2017/11/1,99.0
2017/12/1,99.1
2018/1/1,99.4
2018/2/1,99.7
2018/3/1,99.9
2018/4/1,99.9
2018/1/1,101.47
2018/2/1,101.46
2018/3/1,101.40
2018/4/1,101.34
2018/5/1,101.30
2018/6/1,101.28
2018/7/1,101.23
2018/8/1,101.07
2018/9/1,100.84
2018/10/1,100.64
2018/11/1,100.46
2018/12/1,100.31
2019/1/1,100.26
2019/2/1,100.30
2019/3/1,100.35
2019/4/1,100.37
2019/5/1,100.38
2019/6/1,100.38
2019/7/1,100.37
2019/8/1,100.30
2019/9/1,100.25
2019/10/1,100.23
2019/11/1,100.29
2019/12/1,100.32
2020/1/1,100.25
2020/2/1,99.90
2020/3/1,99.09
2020/4/1,98.16
2020/5/1,97.91
2020/6/1,98.17
2020/7/1,98.46
2020/8/1,98.60
2020/9/1,98.58
2020/10/1,98.40
2020/11/1,98.29
2020/12/1,98.44
2021/1/1,98.59
2021/2/1,98.81
